year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta,finbert_positive,finbert_negative,finbert_neutral,finbert_net,hawk_composite
1994,1994-02-04,statement,120,1,1,0,0.0,0.5,2,,0.2433545078232067,0.1910500564713404,,,0.0977855026721954,0.0977855026721954,0.8044289946556091,0.0,0.5
1994,1994-05-17,statement,185,0,1,-1,-0.5405405405405406,0.0,1,0.3361979951147966,0.2374912987492129,0.4971550857030156,-0.5405405405405406,-0.5,0.0597229301929473,0.0597229301929473,0.8805541396141052,0.0,0.25
1994,1994-08-16,statement,200,1,0,1,0.5,1.0,1,0.7380765376209046,0.2483149661015534,0.4706256566943005,1.0405405405405406,1.0,0.1509052217006683,0.1509052217006683,0.6981895565986633,0.0,0.75
1994,1994-11-15,statement,163,0,0,0,0.0,0.0,0,0.7953816108535467,0.2172032054560949,0.4678228072019306,-0.5,-1.0,0.0865522027015686,0.0865522027015686,0.8268955945968628,0.0,0.25
1995,1995-02-01,statement,164,0,0,0,0.0,0.0,0,0.8136718028152864,0.2192748038617949,0.5305287801908021,0.0,0.0,0.1058666408061981,0.1058666408061981,0.7882667183876038,0.0,0.25
1995,1995-07-06,statement,90,2,0,2,2.2222222222222223,1.0,2,0.3236575946426844,0.188586591975713,0.2835340744498684,2.2222222222222223,1.0,0.2176239192485809,0.2176239192485809,0.5647521615028381,0.0,0.75
1995,1995-12-19,statement,105,0,1,-1,-1.9047619047619049,0.0,1,0.7130721230049867,0.225749770273752,0.2778435409048219,-4.126984126984127,-1.0,0.1124742031097412,0.7750515937805176,0.1124742031097412,-0.6625773906707764,0.0843556523323059
1996,1996-01-31,statement,156,1,1,0,0.0,0.5,2,0.3254485646630072,0.2388460602541535,0.4684516767566479,1.9047619047619049,0.5,0.2030280828475952,0.2030280828475952,0.5939438343048096,0.0,0.5
2003,2003-01-29,statement,140,0,1,-1,-0.7142857142857143,0.0,1,0.13276231895863,0.2404993926147584,0.2833777556860508,-0.7142857142857143,-0.5,0.646818995475769,0.1765905022621154,0.1765905022621154,0.4702284932136535,0.3675571233034134
2003,2003-03-18,statement,197,0,1,-1,-0.5076142131979695,0.0,1,0.6514909295486362,0.2587803343622045,0.2374237243989158,0.2066715010877448,0.0,0.212499588727951,0.212499588727951,0.5750008225440979,0.0,0.25
2003,2003-05-06,statement,187,0,3,-3,-1.6042780748663104,0.0,3,0.4706548900760117,0.2566085103132389,0.3045618468759479,-1.0966638616683408,0.0,0.8961179852485657,0.0519410073757171,0.0519410073757171,0.8441769778728485,0.4610442444682121
2003,2003-06-25,statement,275,1,3,-2,-0.7272727272727273,0.25,4,0.4999670904298056,0.3075063274674691,0.6041811731481227,0.8770053475935831,0.25,0.2576996088027954,0.2576996088027954,0.4846007823944092,0.0,0.375
2003,2003-08-12,statement,184,0,4,-4,-2.1739130434782608,0.0,4,0.5778430283079717,0.2762996060211153,0.3804547178235649,-1.4466403162055337,-0.25,0.7164958715438843,0.1417520642280578,0.1417520642280578,0.5747438073158264,0.3936859518289566
2003,2003-09-16,statement,182,0,4,-4,-2.197802197802198,0.0,4,0.9339498411278224,0.2716476235392178,0.3831431014778814,-0.0238891543239372,0.0,0.4956644773483276,0.2521677613258362,0.2521677613258362,0.2434967160224914,0.3108741790056228
2003,2003-10-28,statement,183,0,4,-4,-2.185792349726776,0.0,4,0.9315454572385884,0.2686136579451696,0.3817651314245665,0.0120098480754218,0.0,0.7713780403137207,0.1143109798431396,0.1143109798431396,0.657067060470581,0.4142667651176452
2003,2003-12-09,statement,172,0,5,-5,-2.9069767441860463,0.0,5,0.839731966567082,0.2646472662823939,0.3871140911017582,-0.7211843944592702,0.0,0.2286132276058197,0.5427735447883606,0.2286132276058197,-0.3141603171825409,0.1714599207043647
2004,2004-01-28,statement,176,0,6,-6,-3.4090909090909087,0.0,6,0.7861511968500197,0.2688287051670628,0.3825633456822466,-0.5021141649048624,0.0,0.5050296783447266,0.2474851608276367,0.2474851608276367,0.2575445175170898,0.3143861293792724
2004,2004-03-16,statement,175,0,6,-6,-3.428571428571429,0.0,6,0.8855997133831423,0.258184860034875,0.3839983879166223,-0.01948051948052,0.0,0.13328418135643,0.7334316372871399,0.13328418135643,-0.6001474559307098,0.0999631360173225
