year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta
1994,1994-02-04,statement,120,1,1,0,0.0,0.5,2,,0.2433545078232067,0.1910500564713404,,
1994,1994-05-17,statement,185,0,1,-1,-0.5405405405405406,0.0,1,0.3361979951147966,0.2374912987492129,0.4971550857030156,-0.5405405405405406,-0.5
1994,1994-08-16,statement,200,1,0,1,0.5,1.0,1,0.7380765376209046,0.2483149661015534,0.4706256566943005,1.0405405405405406,1.0
1994,1994-11-15,statement,163,0,0,0,0.0,0.0,0,0.7953816108535467,0.2172032054560949,0.4678228072019306,-0.5,-1.0
1995,1995-02-01,statement,164,0,0,0,0.0,0.0,0,0.8136718028152864,0.2192748038617949,0.5305287801908021,0.0,0.0
1995,1995-07-06,statement,90,2,0,2,2.2222222222222223,1.0,2,0.3236575946426844,0.188586591975713,0.2835340744498684,2.2222222222222223,1.0
1995,1995-12-19,statement,105,0,1,-1,-1.9047619047619049,0.0,1,0.7130721230049867,0.225749770273752,0.2778435409048219,-4.126984126984127,-1.0
1996,1996-01-31,statement,156,1,1,0,0.0,0.5,2,0.3254485646630072,0.2388460602541535,0.4684516767566479,1.9047619047619049,0.5
2003,2003-01-29,statement,140,0,1,-1,-0.7142857142857143,0.0,1,0.13276231895863,0.2404993926147584,0.2833777556860508,-0.7142857142857143,-0.5
2003,2003-03-18,statement,197,0,1,-1,-0.5076142131979695,0.0,1,0.6514909295486362,0.2587803343622045,0.2374237243989158,0.2066715010877448,0.0
2003,2003-05-06,statement,187,0,3,-3,-1.6042780748663104,0.0,3,0.4706548900760117,0.2566085103132389,0.3045618468759479,-1.0966638616683408,0.0
2003,2003-06-25,statement,275,1,3,-2,-0.7272727272727273,0.25,4,0.4999670904298056,0.3075063274674691,0.6041811731481227,0.8770053475935831,0.25
2003,2003-08-12,statement,184,0,4,-4,-2.1739130434782608,0.0,4,0.5778430283079717,0.2762996060211153,0.3804547178235649,-1.4466403162055337,-0.25
2003,2003-09-16,statement,182,0,4,-4,-2.197802197802198,0.0,4,0.9339498411278224,0.2716476235392178,0.3831431014778814,-0.0238891543239372,0.0
2003,2003-10-28,statement,183,0,4,-4,-2.185792349726776,0.0,4,0.9315454572385884,0.2686136579451696,0.3817651314245665,0.0120098480754218,0.0
