rmse_mean,rmse_std,mae_mean,mae_std,model,target,n_features
0.10975173874349782,0.05099845530687413,0.08755093125739657,0.03982164633784213,Baseline (macro only),yield_2y_chg1d,6
0.1449635471888072,0.05599087030819527,0.12033510269333861,0.04836268205072119,Linear (keyword NLP+macro),yield_2y_chg1d,15
0.12217994692607678,0.043822012019237584,0.09837162600777656,0.03419608140832508,Ridge (full NLP+macro),yield_2y_chg1d,19
0.09258969193081046,0.03777561538004018,0.07237271971906138,0.02939793534482069,Lasso (full NLP+macro),yield_2y_chg1d,19
0.08653421212533992,0.042737882469368126,0.06744618392379911,0.03418352982853655,Random Forest,yield_2y_chg1d,19
0.10256073653523115,0.046867308907396696,0.08083781647988623,0.039028544918071846,XGBoost,yield_2y_chg1d,19
0.11122445926326177,0.03913816870606167,0.08575144521569628,0.03219570105967922,Baseline (macro only),yield_2y_chg3d,6
0.13532651511270322,0.06801264919555365,0.10563072547388294,0.055000978284224865,Linear (keyword NLP+macro),yield_2y_chg3d,15
0.13592231161790694,0.08482480134738851,0.10450802211270024,0.07050816533658272,Ridge (full NLP+macro),yield_2y_chg3d,19
0.10767118395991042,0.05037155463309225,0.08176491753898459,0.041676551255533725,Lasso (full NLP+macro),yield_2y_chg3d,19
0.10497708275552149,0.04583099156449966,0.07815704394506254,0.03749553818211319,Random Forest,yield_2y_chg3d,19
0.11535403613010878,0.0426613656131385,0.08463969276864182,0.035307814898255886,XGBoost,yield_2y_chg3d,19
0.127399002207919,0.04757792728928001,0.10170327061533142,0.042344197910513776,Baseline (macro only),yield_2y_chg5d,6
0.15274934791047737,0.07224223719821876,0.12478755715253047,0.05755540269562556,Linear (keyword NLP+macro),yield_2y_chg5d,15
0.14783987710071742,0.08375924243272448,0.1157218123090186,0.06818720729608865,Ridge (full NLP+macro),yield_2y_chg5d,19
0.12468176349255748,0.05252414889187649,0.0954822409965774,0.041320637638965256,Lasso (full NLP+macro),yield_2y_chg5d,19
0.11899486515290927,0.043079118121975,0.091754321843972,0.035289291407487974,Random Forest,yield_2y_chg5d,19
0.12619902799747684,0.048258995602077366,0.09524348609795746,0.03787851317767831,XGBoost,yield_2y_chg5d,19
0.12224331901242691,0.04691869865259632,0.09627435685908466,0.03007723307287005,Baseline (macro only),yield_10y_chg1d,6
0.17309206717066034,0.10080307215825074,0.13218701935696237,0.07138097957019801,Linear (keyword NLP+macro),yield_10y_chg1d,15
0.1449649363680053,0.06692914860401702,0.110593040140295,0.04804168772605852,Ridge (full NLP+macro),yield_10y_chg1d,19
0.10929067789933211,0.033948160207175185,0.08638040927547433,0.0247796685935025,Lasso (full NLP+macro),yield_10y_chg1d,19
0.11066918468269524,0.033074039000905324,0.08784729360130375,0.024033177731081365,Random Forest,yield_10y_chg1d,19
0.12716747707934534,0.034923908941592446,0.10141506969877667,0.025357394817989584,XGBoost,yield_10y_chg1d,19
0.1336001249583882,0.022025689735060257,0.10476802503529223,0.021092267254348807,Baseline (macro only),yield_10y_chg3d,6
0.17463570586245553,0.07717909872304889,0.13414720415770076,0.06149473331791691,Linear (keyword NLP+macro),yield_10y_chg3d,15
0.16623694584113954,0.07629508149340389,0.12759533526398809,0.06439836128171887,Ridge (full NLP+macro),yield_10y_chg3d,19
0.13251083008445744,0.031369318985608276,0.10053403228707807,0.02496610308102185,Lasso (full NLP+macro),yield_10y_chg3d,19
0.13312269784644987,0.028708886112018016,0.09958923773063859,0.02143964076302217,Random Forest,yield_10y_chg3d,19
0.14860412763067202,0.02565359924345911,0.11177848504976398,0.02368146284264426,XGBoost,yield_10y_chg3d,19
0.15553031828135325,0.02711318240821812,0.11921786304327615,0.018837285077867836,Baseline (macro only),yield_10y_chg5d,6
0.19368615301145575,0.052854951690996625,0.15191325081848386,0.04305791197724319,Linear (keyword NLP+macro),yield_10y_chg5d,15
0.1893695219291323,0.05007540755884799,0.14995911172450566,0.04293942138708212,Ridge (full NLP+macro),yield_10y_chg5d,19
0.1508848326272726,0.02972901596533063,0.11655162979421711,0.02008203556312842,Lasso (full NLP+macro),yield_10y_chg5d,19
