feature,importance
fed_funds_rate,0.11632239224817384
cpi_yoy,0.10742168571471392
finbert_neutral,0.07423034922874383
finbert_negative,0.06796668893891762
tone_word_count,0.0675127925730542
yield_10y_pre,0.06471580556290331
yield_2y_pre,0.06384745821593649
tfidf_pc2,0.06253830078653687
spread_2s10s_pre,0.05842999204700446
tfidf_pc1,0.054906900187729396
tfidf_cos_prev,0.0448063877636337
unemployment,0.03811774079572404
finbert_positive,0.03738576215304146
hawk_score_delta,0.036546119001142144
hawk_score_norm,0.030828554154456726
hawk_composite,0.025752199068346783
finbert_net,0.018534863247385847
hawk_ratio,0.01210577605422529
hawk_ratio_delta,0.011582675259950109
hawk_net,0.006447556998379895
